Commet,label
ፊልስጤም ግን ልክ ፋኖ ትግራይ ላይ የፈፀመው ጥቃት ይመሳሰላል,ስላቅ
"መንግስት እያለህ ""ተገደልሁ፣ ተፈናቀልሁ፣ ታገትሁ፣ አአ መሄድ አልቻልኩም "" ብሎ ህዝብ ሰልፍ ወጦ ሲጠይቅ ""ጩኸታም"" ብለህ፤ ከዛም ጥያቄዎችን ለመደፍጠጥ የሀገሪቱን ሙሉ ጦር ለ2 አመት አሳማርተህ ውጊያ አድርገህ፣ ዛሬ ለሸማቂ ተዋጊ ""ሰላም እፈልጋለሁ "" የሚል ሰላማዊ ሰልፍ ማድረግ አይጋጭም ወይ😂😂😂",ስላቅ አይደለም
እና ኢትዮጵያ ማንን ታሸንፋለች,ስላቅ
እፍፍይች አለም ላንዱ ስቃይ አዚዜ ና ጀብዴት የአላህ ሰላም በአለም ላይ የሰው ዘር በሙሉ ኢትዮጵያዬን ሰላምም እንዴት ያስፈራል,ስላቅ አይደለም
የሚሰማ አካል ባይኖርም ድምጽ ስላሰማህ እናመሰግናለን።,ስላቅ
ምርጥ ውጤት ይሙጥነናል,ስላቅ
እግዚአብሔር ይጠይቃችኋል በህይወት ያለን ነፍስ በግድ ማጥፊት ወንጀል ነው ። የድያብሎስ ተልዕኮ ነው,ስላቅ አይደለም
አልማዝን አይቼ አልማዝን ባያት ሦስተኛዋ አልማዝ ብትመጣ ድንገት,ስላቅ
Prosperity Party - ብልፅግና ማለት እንደ ፓርቲ ስትተቸው መመለስ የማይችል እሮጦ ሀገር ውስጥ የሚደበቅ የቋንጃ እከክ ነው በምላሱ ስለ ኢትዮጵያ ያወራል ተግባር ግን ዝረፍ እንዝረፍ ነው 😄😄,ስላቅ
ምን አጪሶ ነው 😭😭ከ30% ወደ 300%መቶ ማሳደግ ተችሏል ብትል አይሻልም 🙄,ስላቅ አይደለም
ኢትዮጵያዊው ጃ 😀😀😀,ስላቅ አይደለም
አረ እኔ እውነት ባደረገው ብያለው የሰው ደም ሲፈስ ተው ብሎ ያልመከረ መካሪ ደህናውን መሪ ያበላሸ ሰው ነው በወሰዳችውልን አይሄድም እንጂ,ስላቅ
አወይ AA ከጽልመት ተስፋ! ለሯጩ ሕዝብ ልብ ሰባሪ መንማይ ተስፋ ጋባዥ አዝማሪ አልሽ ኮተት ድበቃ ከእንግዳ እስከ መቼ ለነገው እዳ? AA እንዴ ስምሽ አበባ መሆን ደስታ ባይ,ስላቅ
አይዞሽ ኤሄንንን አስታሳሴብ ይዜሺ ፈጣሪም አይጢልሺም እትዮጲያ ህዚብ ያግዚሻል ያሁሉ በደል ተበዲሌሺ አሁንም ለእናትሺ ያሎዉ ፊቅሪ ጌሪሞኛል,ስላቅ አይደለም
ቢቀርባችሁስ,ስላቅ
የህዝብ እሮሮ ነው ወይሰ የራስህ ወንበር ፍቅር ? አንተ መሪ ቢትሆንም ያው ነው ባክህ,ስላቅ
"ከ ጅቡቲ ጋር አቻ ይከብዳል
",ስላቅ አይደለም
ታዳጊወች ላይ መስራት አለብን፡ አመጋገባችንን ከእንጀራ ወደ ቦቆሎ መቀየር አለብን፡. ..የሚል አቅጣጫ አስቀምጠን ማለፍ አለብን።,ስላቅ አይደለም
ጃዋር መሐመድ ሐገራችን ካፈራቻቸው ድንቅ ፖለቲከኞች አንዱ ነው ጃዋር መሐመድን እንደብቃቱ የሚያደንቁት አሉ ብዬ አላምንም በስሜት የሚያደንቁት ዕልፍ እንደሆኑ እየካድኩ አይደለም እንዳለው እምቅ አቅምና ብቃት እሱ ከተገኘበት ብሔር ውጪ የሆኑ አድናቂዎች ሊኖሩት የሚገባ ጂኒየስ ፖለቲከኛ ነው ጃዋር መሐመድ ኢትዮጵያ የስርዓት ለውጥ ስታደርግ በፕሬዝዳንታዊ ስርዓት መመራት ስትጀምር የታላቋ ኢትዮጵያ ፕሬዝዳንት ይሆናሉ ከምላቸው ጎምቱ ፖለቲከኞች,ስላቅ አይደለም
መለያ አርማችን የሀለባ ቀዩ ዛላ በርበሬ ይነገራል ፎቶው ከነ ቦታው,ስላቅ አይደለም
ጅቡቲን ካላሸነፉ ታዲያ ማንን ሊያሸንፉ ነው?? አርጀንቲና ብራዚል ፈረንሳይ ስፔን,ስላቅ
ከመቶ ሃያ አንድ ሚልዮን ህዝብ 11 ተጫዋች ማግኝት የከበዳት ሀገር 😂😂😂,ስላቅ አይደለም
አንጻራዊ ሰላም? መቼ ነው ግን <ሙሉ ሰላም> የሚል ቃል የምትጠቀሙት?,ስላቅ አይደለም
ሲጀመር ይህ ቡድን ኢትዮጵያዊ የሚመስል ስብስብ አይደለም ፣ከሱማሌ ከጋምቤላ ከአሶሳ ከወላይታ እና ሲዳማ አካባቢ ተወላጅ የሆኑ ተጫዋቾች በዚህ ብሔራዊ ቡዱን ውስጥ አሉ?ሁሌ የተለመደ አካሃድ እየሃድን እንዴት የተለየ ውጤት እንጠብቃለን? ቢያስ ቢያንስ ከተክለ ሰውነት አንኳያ በረኛችን ከጋምቤላ ወይም ከሱማሌ መሆን የለበትም? ተገቢውን ስልጠና ሰጥተን ማዘጋጀት አንችልም? ከለቦቻችን ከሁሉም አካባቢ የ…,ስላቅ አይደለም
እግዚአብሔርን ጂቡቲን እና ሶማሊያን ለማያሸንፉ ተጨዋቾች 400000 እና 500000 መቶ ሺ መከፈል ወንጀል ነው እኛ በአምስት ሺ ብር ደሞዝ እየሰራን ሰንት ችግር ላለባት ሀገር ቅንጦት ነው ይሄ የሚመለከተው አካል ያስብበት,ስላቅ አይደለም
የመረጃ ክፍተት ያለበት ዘገባ ነዉ።ምክንያቱም ፎቶዉ የሚናገረው አንድ አከባቢ (ሀለባ) ዘገባው የሚነገረው ሌላ ።,ስላቅ አይደለም
የገባንበት ቀውስ በአንድና በሁለት ምኒልኮች የሚቀረፍ ላለመሆኑ ማስረጃ መጥቀስ አያስፈልግም። ዛሬ ላይ 5060ሚ እስክንድሮችና ሺህ ታዴዎስ ታንቱዎች ያስፈልጉናል።,ስላቅ አይደለም
ኢትዮጵያን በሰላም ማስተዳደር በተሳነው ብልጽግና እና በአክራሪዎች ከሞቀ ኑሯችሁ ተፈናቅላችሁ በየጥሻው በየጎዳናው በየመጠለያው ለወደቃችሁ ወገኖቼ እንዲሁም በየቤታችን ላለን መልካም የ,ስላቅ አይደለም
ብልጽግና' የሚለው ስያሜ እንደ ኢትዮጵያ ላሉ የድህነት ቀንበር ትከሻቸውን ላጎበጠ ሀገራት የወል እውነት ነው።,ስላቅ አይደለም
በገዛ አኗኗራችን ላይ መጥታችሁ ልትታታልሉን...ስላቅ አይደለምo ስላቅ አይደለምo😔,ስላቅ አይደለም
እረ የህዝብ ገንዘብ አይባክን,ስላቅ
የምርሽን ነው 😂😂😂ተሽኮረመምሽ አይ ዲጄ ሊ,ስላቅ
እየተባባሰ ነው።,ስላቅ አይደለም
ነገደ ያዕቆብ አፋርን እብደታችሁ ዉስጥ አታስገቡት አገር እየበጠበጠ ያለዉ አህያ ነዉ።,ስላቅ አይደለም
በአንድ ታካሚ ሆድ ውስጥ አንድ መለስተኛ የህንፃ መሳሪያ መደብር ተገኘ ብሎ መዘገብ ይሻል ነበር።,ስላቅ
ይሄማ ለፕሮግራም መጣ እንጂ ቢመነ*ቅ ግልግል ነበር 😁😂አሁን ያለበት ላይፍ ከፕሮነት ስለማይሻል ሄደም መጣ ያው ነው¡ 😁ውሸት ግን ከአባታችሁ ከጋሽ ሉተር ጀምሮ አይታክታችሁም?🤔😳😁,ስላቅ
በዚህ ዓለም ዝና ለማግኘት የማይፈነቅሉት ድንጋይ የለም። የኢትዮጵያ ጠቅላይ ሚኒስትር የሚገርም ሰው በየቦታው መዝናኛ ቦታ ከመፈጠሩ በፊት ሰላም አይቀድምም። ሰላም በሌለበት አገር ማን ለመጎብኘት ይመጣል?,ስላቅ አይደለም
ኑሮም. አይጠቅምም ይህ,ስላቅ
ወደብ ኪራይ እንዳይጨምሩ ብለው ነው ያላሸነፉት?,ስላቅ
የማረቆ ልዩ ወረዳን እንዴት እጅህ እሺ ብሎ ጻፍክ ግን ፋና? የማረቆ ፋና በርበሬ ፋና ጻፈም አልጻፈም አይደለም በሀገር በዓለም ደረጃ እውቅናን የተጎናጸፈ ምርጥ በርበሬ ነው ሶ ፋናዎች ብዙም አትጨነቁ ያለፍላጎት እንደጻፋቹት ያሳብቅባችዋል !!,ስላቅ አይደለም
ሀይ የዘንድሮ ሥራ-ፈት EBC... እስቲ ደመሞ ዬሌላ ብሔርንም አንዴ... ወይስ የሌላ ከንቱ ነው???,ስላቅ
ውይ ጉድ የምግብ እጥረት ይሁን ወይ?,ስላቅ
100% ዉሸት ነው ።,ስላቅ አይደለም
ጎበዝ ነሽ ንቃተ ሕሌናሽን ወድጀዋለሁ !👌 ሌቦቹ ደግሞ በጣም ተራቀቁ አሁን ከዚህ ሁሉ ጋር ተደምረን ነዉ ኢትዮጵያዊ እምንባለዉ ቱ ቱ ...,ስላቅ አይደለም
ወይ ጉድ የእኒህ ሴትዮ ችግር እስካሁን አልተፈታላቸውም እንዴት ያሳዝናል እንደው ግን ነጣቂዋ በሰላም ተኝታ ማደሯ,ስላቅ
በትወርድ ብትወርድ የዚህን ያክል ዘቅጠህ ትወርዳለህ ብዬ አላሰብኩም ነበር 🤧ተራ Screeስላቅ አይደለምshot ሁላ እየሰበሰብክ መለጠፍ መጀመርህ ያሳዝናል,ስላቅ
ልጃቸው ናት?😂,ስላቅ
ድል ለሠፊው ለአማራ ሕዝብ። ሠላማዊው መንገድ ሁሌ አሸናፊ ነው።መከላከያ ኋይላችን መመከያችን,ስላቅ አይደለም
ሜገርም ሁሉ ብረት ለምን ዋጥ ምግብ መስሎ ነው እግዚአብሔር ወዶት ነው ያዳነዉ ስለዚህ እግዚአብሔር አመስግነው ወንድሜ,ስላቅ አይደለም
የገባኝ ነገር ቢኖር ብዙ የወንዶችም የሴቶችም ሌቦች እና የሌቦች ተባባባሪ እንዳላቹ ነው ሲስቱ መልካም ነው ያረግሺው እንኳንም ተረፍሽ አሁንም እራስሽን ጠብቂ,ስላቅ አይደለም
ለፈለጋቹት አከራዩ ችግሩ ግን በናንተ መሬት ሆኖ ኢትዮጵያን የተነኮሰ ግዜ ነው እናንተንም እነሱንም አፈር ምናስበላቹ,ስላቅ
ኧረ ተዉ እናንተ የምትሉና እዚህ መሬት ላይ እተጋፈጥን ያለነው እጅግ በጣም ትልቅ ልዩነት አለው!!!መንግስት እስከ ታች ወርዶ ህዝቡን የማይሰማው የማይረዳው እስከ መቼ ነው?ከበትንሹ ከምንገዛው ነገር አንስቶ እስከ ትራንስፖርት የኑሮ ጫናና ቅጥ ያጣው ነገር መስተካከያ ግዜው መቼ ነው?,ስላቅ አይደለም
አዎ በእናንተ ጭፈራ ቤት በእንግድነት መገኘቱ አስከፍቶናልግን በሜዳችሁ በቅኔ ሲያስተምራችሁ አልገባችሁያው መስማት እንጂ አታስተውሉምየኔ አሜን ብላችሁ ይሆናል,ስላቅ
ለምንድነው ማይበተኑት እሺ ማንን ነው ምናሸንፈው እግር ኳስ ክሐባችን ለምንድነው ለሰንደቅ አላማው ማይዋደቀው ካልሆነ የሐገር ፍቅር ከሌላቸው ለሜን ተበትነው ሌላ ወጣት ተጫዋቾችን ለምን አይመለምልም,ስላቅ አይደለም
የአዲስ አበባ ከተማ ነዋሪዎች ቦሌ አይር ማረፊያ ድረስ በመሄድ ደማቅ አቀባበል አድርጉላቸው ለጀግኖቻችን ።,ስላቅ
ግድ የላችሁም ከጤና ቡድን በስተቀር የእግር ኳስ ፌድሬሽን፣ ክለብ እንዲሁም ብሄራዊ ቡድን አያስፈልገንም! በጀቱ ሁል ጊዜ በአለም አደባባይ አንገታችንን ቀና አድርገን ለምንሄድበት አትሌቲክስ ይዋል።,ስላቅ
አየር ሀየል አገር ማሸበር ነው የያዘው የኤርትራ ጦር እና የሱዳን ጦር የአገሪቷ ለአላዊ ነት ደፍሮው እያሉ ያሳዝናል,ስላቅ
እልልልልልልልልልል,ስላቅ አይደለም
አር በፈጠርህ አንተ ሰውየ,ስላቅ
አሳፋሪ!!!!,ስላቅ
የሴቶችን ልብ ሰበራቹት,ስላቅ አይደለም
የኢትዬጲያ መንግሥት በ tiktok ዙሪያ ሕግ ለራሡ ዜጎች ቢያወጣ መልካም ነው።ምክንያቱም የሚማር ትውልድ እየጠፋ ነው ከዚሕ በተጨማሪ የሀገሪቱን ባሕል እና ወግ እያጠፋ ነው።,ስላቅ አይደለም
በግልፅ ውሰዱት እና እንገላገል። ዲያቆን እየተባለ ሰይጣን ከሚሆንብል ፓስተር ዳንኤል ቢባል ምርጫችን ነው ለኦርቶዶክስ ይጎዳት ይሆን እንጅ አይጠቅማትም።,ስላቅ
ክብር ለሀገር መከላከያ ሰራዊትና ለሰላም ፈላጊ ህዝባችን,ስላቅ አይደለም
እግዚአብሔር ይጠብቀን እንጂ ገና ገዙ ጉድ አለ የሴጣን ስራ,ስላቅ
አይ ሞጣ ቀራኒዮ ደህና ሁን እንግዲህ አልተገናኝቶም,ስላቅ
እ እንዴት ዋጠው ምን አይነት ጉሮሮ ፈጣሪ ሰጠው,ስላቅ አይደለም
ጎበዝ ጂቡቲ,ስላቅ
የአሜሪካን ጨዋታ ሳላደንቅ አላልፍም በዚህ አጋጣሚ ቤተ አማራ ላይ የተዳፈነው የሰብዓዊ መብት ጥሰት እና ሰብዓዊ እርዳታ ተመልካች ያገኛል ማለት ነው somethiስላቅ አይደለምg is c,ስላቅ አይደለም
"ሄን መንግስት እንደምወድቅ አልጠራጠርም ምክንያቱም ደሃን በድሏል,አስለቅሷል እያስለቀሰ ነው ስለዝህ በተበዳይ ዱአ እና አላህ መካከል ምንም ግርዶሽ የለም ከ ባንክም ከ ታንክም በላይ የሰው ቀልብ ይጥላል",ስላቅ አይደለም
ግምቴ የሚገርም ነው 4-1 ብዬ ነበር ተሳካልኝ,ስላቅ
በቀልኮ መጨረሻዉ አያምርም እየተጎዱ መኖር በአዱኒያ ቢጎዳም በአኼራ ጥሩ ነዉ,ስላቅ አይደለም
የውሻ መብት ተቆርቋሪዎች! ቀን የሰው ደም እየረከሰ ባለበት ሀገር ስለውሻ መዘገብ አይከብድም,ስላቅ አይደለም
ሃገሩ ድንገት ነው እጃቸው ላይ የገባው! ሰመመኑ ኣለቀቃቸውም! ጸልዩ በእንተ እለ ኖሙ!,ስላቅ
ኢትዮጵያ ከራስ ጋር ብትጫወት እንኳ ትሸነፋለች!!,ስላቅ
በዓለም ላይ የኮፊ አረቢካ መገኛ ብቻ ሳንሆን ትልቁ አምራች ለመሆን በሕብረት መትጋት ይኖርብናል።,ስላቅ አይደለም
ሁላችንም በህይወት እና በዜሮ ጭንቀት ደስ ይለናል,ስላቅ
ይህን ቃል 27 አመት ወያኔዎች አቀንቅነውታል ዛሬም ተባብሶ መቀጠሉ ያማል አገራችን ታሳዝናለች,ስላቅ
በፒፒ ቤት የሚገርም ስራ እየተሰራ ነው። TPLF ን ወደ ፒፒ ለማስገባት የሚደረገው ግቦ ቆይትዋል። ስብሓትና ብርሃነ ክአገር መውጣት የማይገባቸው ናቸው።,ስላቅ አይደለም
አንቺ መርጦ አልቃሽ ሲጀመር አፋርን እራሱ የጠራሽው ለማስመሰል ነው ኢቲዮጲያ ውስጥ አማራ እና አፋር ብቻ ነው የተራበ ያለው ወረኛ እንደ ጋዜጠኛ ስራሽ ሁሉንም ነው ማካለል ያለብሽ ሲጀመር ሌላውን ዘረኛ ትላላላቹ እንጂ ከናንተ በላይ ዘረኛ የለም ነውረኛ,ስላቅ አይደለም
ለዛውም ከጁቡቲ ,ስላቅ
ሞትን በደንብ ለምደነዋል በባለፉት 6 ዓመታት ዉስጥ።,ስላቅ
እኔ ምለው የኢትዮጵያ የእግር ኳስ ይቁም ለሀገር ኪሳራ ነው,ስላቅ አይደለም
አንተ ፋራ ፅንፈኛ አትሁን እስራኤል ብትነድ ሰዉ ምንም የማያዉቅ ህፃናት ነዉ የሚቃጠለሁበዚሂ ደስ ካለህ ጂኒ ነዉ ፈጣሪ አይዐደዉምቀደም ሲል ፓሊስቲያን ሲኀድ ንፁሀን ነዉ የተቃጠለዉ ያሳዝናል የእስራኤል አረመኔነትን ያሳያልጦርነት እንዳይሰፋ ዱአ ማድረግ ፈጣሪ ይብቃ እንዲል,ስላቅ
ሰላም ለሁሉም ነገር መልካም ስለሆነ ለሰላም መልስ የሰጡ ወንድሞቻችን ምስጋና ይገባቸዋል።,ስላቅ አይደለም
ጅቡቲ ትመርመር ይቺ ቁንጫ እነማንን አሰልፋ ነው ዋልያዎቹን ሽባ ያደረገችው,ስላቅ
አምረቹ ሀለበ ስለመሆኑ ዘጋቢዎቹ ሰያዉቁ ቀርተዉ ሰይሆን በግለሰቦች በመመረተቸዉ ይመስለኛል ለገር የወቀዉንና ፅሀይ የሞቃዉን ነጭ እዉናታን ሸረብ አርጎ ለመለፍ የተሞከረዉ ለመንኛዉም ትርፉ ትዝብትነዉ።,ስላቅ አይደለም
#ጀዋር በኢትዮጲያ ዉስጥ የመንግስት ሌብነት እና ዝርፍያ ህጋዊ ነው 😍👌,ስላቅ
ወይኔ ስያስፈራ ደግሞ ለካ ጦርነት እንዲህ ነው ሚዋጉት የኛዎቹም ጦርነት ሲወራ ና በተግባር ይለያያል በተግባር ስያስፈራኣምላኬ ሆይ ጦርነትን ኣጥፋልን,ስላቅ አይደለም
እግር ኩዋስ ያለ እውቀት ባዶ ነው,ስላቅ
ደስ ሲል ለእናቶቻችን ያሳቸዋል እድሜ ከጤና ጋር ይስጣቸው,ስላቅ አይደለም
ብግጥሙ ድርሰት ክዜማው ጋር መጣጣሙኔ የድምፅዋን ሀይልና ቃና የሙዚቃው ቅንብርምስ በልዩ ጥንቃቄ የተዝጋጀ የባም ብጣም እጅግ ብጣም የተዋጣለት ምርጥ ዘፈን ነው ብዚህ ውብ ድምጿ ምሉእ እልበሟን ብጉጉት እንድንጠብ ነው ያደረገን እቦ ብርቺ በልዋት,ስላቅ አይደለም
አንቺ ደንቆሮ ሀሳቡን ብትሰሚው ምንአለ መብቱነው መንም ሰው የፈለገው ሀይማኖት መከተል ይቺላል ማንም የማንንንም ሀዮማኖት ማንቋሸሽና ማሳነስ አይችልም አንቺ ደደደብ,ስላቅ አይደለም
ጩዌኰ አንቴጋ ነዉ ያቀር😃✌️,ስላቅ አይደለም
ጌታ ሆይ እስፔር ፓርትና የህንፃ መሳሪያ ነው በለኝ🤔,ስላቅ
የማይቀረውን እጅ ሰጥተዋል,ስላቅ አይደለም
ስደተኛው አይዞህ መንግስት ሲኖረን ታሸንፋለህ,ስላቅ
የአማራው ጦርነት ከትግራይ የሚለየው ከስፋትና ከህዝብ ብዛት ብቻ አይደለም ዋናው ነገር ኢትዮጵያዊ በሙሉ ስለማይደግፈውና የኦሮሚያ ተረኝነት ዘረኝነት የጠባብነት መስፋፋት ጭምር ነው,ስላቅ አይደለም
ዝቅ ያለልን ነገር ምን አለ በየቀኑ ከሚጨምር ነገር ውጪ? በተለይም በምግብ እህሎች! ይህንን ዝቅ ማለቱም ህዝቡ በየአከባቢው እንዲያረጋግጥ ብዙ መሥራት ያስፈልጋል ክቡርነትዎ። ዝቅ ከፍ ማለቱን ኢኮኖሚስቶች በተገቢው እያንዳንዱን Commodity አጥንተው ቢያቀርቡ ተዓማንነቱ ይኖረዋል።,ስላቅ
ከኢትዮጵያ አልፈን እስካ ሃገረ አሜሪካ የምንታወቅበት ብረንዱ ቀዩ ዘለችን የሀላባ በርበሬ👉❤👈,ስላቅ አይደለም
እትዮጵያ ተቪ እራሱ ብትዘጋ እጅጉን መልካም ነው🙌።,ስላቅ
የበርበሬ ምርት እና ሀላበ ሁሌም የማይነጣጠሉ የአንድ ሰንትም ሁለት ገፅታ ነቸው።,ስላቅ አይደለም
መንጌ ጠላቱ ባለጌ እሱ ግን ይኖራል ለኢትዮጵያ ሁል ጊ ዜ,ስላቅ አይደለም
ራሳቸውን ያመጡት ጦርነት አሁን ሰላም እንፈልጋለን የምትሉ ጀማሪ እናንተ ናቸው,ስላቅ አይደለም
ኢትዮጵያ ለዘላለም ትሩጥ!,ስላቅ
"●""ዛላ በርበሬ ምርት የሀላባ ህዝብ ግዙፉና ወርቃማው ምርት/ብራንድ ነው!!""።በዚህም የሀላባው ዛላ በርበሬ ምርት በህዝቡ ዘንድ በስፋት የሚመረትና ከተለያዩ የሀገሪቱ አከባቢዎች ባለፈ ለተለያዩ ለአለምአቀፍ ሀገራት ገበያ ለፍጆታነት እየተሰራጨ የሚገኝ ምርት ነው።",ስላቅ አይደለም
ብዙ ጎል የምሆኑ እድሎችን መጠቀም በለመቻላቸው ጥሩ ውጤት አምልጦናል,ስላቅ አይደለም
በእናንተ መንደር ሊሆን ይችላል🤔,ስላቅ
ጅቡቲን እንኳን ማሸነፍ አልቻሉም ወያኔ ትልቅ ውርደት,ስላቅ
ተመስገን ፈጣሪ አግራችን ሳትፈርስ የ3ኛ አመት 4ኛ መደበኛ ጉባኤ ሲካሄድ ማየቱ የልብ ኩራት የሚሰጥ ነው መልካም ቀጣይየስራ ዘመን,ስላቅ
ወይ ፋና ትዝብት ነው ትርፉ አለ ዘፋኙ በርበሬ ስነሳ የሀላባ ስም ቀድሞ ማንሳት ግድ ይላል። ለዚያውም በማዕከላዊ ኢትዮጵያ,ስላቅ
ውይ በዚች በዚች,ስላቅ
ለውበት ቅርብ ከተማ ናት,ስላቅ አይደለም
ዶክተር አብይ!! እባክህ በፈጠረህ እቺን ውለታ ብቻ ዋልልን: የኢትዮጵያ በሔራዊ ቡድን ሰብስብና መከላከያ አስገባልን! የኢትዮጵያ ህዝብ ከጫፍ እስከ ጫፍ 100% ይደግፍሀል::,ስላቅ
እውነተኛ እስራኤሎችማ እምነታቸው መልካም ስራ ነው ሚያሰራቸውእነዚህ እኮ አይሁዶች ናቸው ፈጣሪን የካዱ ከሀዲዋች እስራኤል ካለ አሜሪካ ሁለት ቀን መዋጋት አትችልም ለማንኛውም የምናየው ነው ሚቀር አደለም,ስላቅ አይደለም
እራ ማርያምን ምንም አልመሰለንም እንዃን ደስ አላችሁ ሲጀመር የቅድስት ቤተክርስቲያን እና የአባቶቻችን የውስጥ ጠላት ነበር እግዚአብሔር አምላክ እንደዚህ ተኩላዎች በጊዜ ነቅሎ ያውጣልን 😡😡😡,ስላቅ አይደለም
የቻይና ስለሆነ ብቻ 🇨🇳ስላቅ አይደለም?,ስላቅ አይደለም
እዉናት ለማናገር ሀላባን ከበርበሬ ነጥሎ ማየት አይቻልም ሀላባ ስባል ከጀርበዉ የማይጠፈዉ ብራንዳችን; መላያችን የሆነዉ የሀላባዉ ቀይ ዛላ በርበሬ ነዉ ::የሀላባዉ ቀይ ዛላላላላላላፎቶዉ ይናገረል,ስላቅ አይደለም
ወደባቸውን ለመጠየቅ ታስቦ ላለማስቀየም ነው እንጂ እነደ ግብፅ 6-0 እንሸነፍ ነበር,ስላቅ
ግብር ላለመክፈል ሳይታወቅ ህንጻ መሳሪያ ለመጀመር አስቦ ነበር ይመስለኛል,ስላቅ
እግዝአብሔ አይቆጣብንም ወይ?,ስላቅ አይደለም
አብድራዑፍ ሰማን ምን ጉድ ነዉ 😂,ስላቅ
ምነው ምግቡ ምስማርና ብሎና ብሎን ነው እንዴ?,ስላቅ
አይደለም ክልሉ፣ ሙሉ ኢትዮጵያው የሚጠረው በሀላባ በርበሬ መሆኑን አንድ ለይ የጠቀሰችሁት ዞኖች ቀድመው የቀወሉ😜,ስላቅ አይደለም
እኔም እንዳንተ ያንገበግበኛል፣ ግሪድ ተሸካሚና የባቡር ሃዲድ ኬብል፣ የመንገድ የብረት አጥር ሌቦች እስከ ሞት የሚያደርስ ቅጣት ይገባቸዋል፣ ከዚህ የባሰ የሞራል ዝቀት የለም።,ስላቅ አይደለም
?ስለሀገርህ ህዝብ መከራ ረሃብና ጥማት ከቀዬው ተፈናቅሎ ችግር ላይ መውደቁን መናገር መንግስትን ለመገልበጥ ማሴር መንግስትን ማሳጣት ከሆነ ታዲያ ምኑን ነው ሀገር የምንለው ማ,ስላቅ አይደለም
ናፖሊ በቲክቶክ በአጥቂው ቪክተር ኦሲምሄን ላይ አሹፏል በሚል ሊከሰስ ነው,ስላቅ
አስረግጬ ነው ምነግረህ ይሄ ሰውዬ ቁራሊዮ ቤት አለው እናም ደግሞ በ ትርፍ ሰዓቱ አናፂ አና ግንበኛ ነው 😎,ስላቅ
ይህንን ዜና ብላችሁ ዘገባችው,ስላቅ
ዉርደት!,ስላቅ አይደለም
ሚስቴ ጠምዳ ይዛኛለች ይህን ካየች ቀን ጀምሮ,ስላቅ
ምርጫ አጣችሁ,ስላቅ አይደለም
አለም ነዋሴ የሙስሊሞች ጠላት ነህ,ስላቅ አይደለም
ወድዝህ እንዳይመለሱ,ስላቅ
ምንድነው ምታጨሱት ግን🙂,ስላቅ
አንተ ሀገር መምራት ሳይሆን ህልምህ ሀገር መበተን ነው። ጃwar 👹 horror,ስላቅ
ጁዋሪ የምገሪምህ ነገር ቁስለን አስታወስከኝ ባለፈው አንድ ወዳጀ ሽንኩርት ከአሩሲ ሁሩታ በመክና ጭኖ ወደ ወላጋ ግንብ እያሄዴ እያለ ከመነሻ ብዙ ኬላ ብሪ እያከፋፈለ መተው ምዕራብ ሻዋ ኤጄሬ ወረደ ለይ ስደሪስ መቶ ኩንታል ነው የተጫነው ሁሉንም ኣውሪዱና አንፋትሽ አሉ የምገሪም ነገር ደግሞ እደሩና ጠወት ነው የምንፋትሸው አሉ በጣም ተደራድሮ 6000 ወስደው ለቃቁት ብዙ ወጭ ወጣባት እቃው ክሳራ ሆነ ከታራገፈ ቦኃላ ግዳጅ ብለው መከላከያ የዘው አንድ ወር ቆይተው ጎማ ጫረሰው መጣ በዛው ንዴት አቁሞ ሸጠው ይሄው ነው የዛ አገር ሥራ,ስላቅ አይደለም
በጣም የሚገርም ነው ደር ዐቢይ ና ባለቤታቸው የሚሰሩት በጎ ምግባር ግሩም ነው እግዚአብሔር የሰጠንን ወጣት ባለራዕይ መሪ ነቱን የተረዱ ጠላቶች ስራውን ለማደናቀፍ እየሰሩ ይገኛል እግዚአብሔር እውነቱን ይግለጽልን,ስላቅ አይደለም
በእውነቱ እርስዎ ስፖንሰር ያደረጋችሁት ይመስላል: : ሊወቅሱህ ሞክረው ነበር ነገርግን አደነቁህ😀,ስላቅ አይደለም
ሳነበው እንባዬን መቆጣጠር አቅቶኛል ገደብ የለለው ደግነት,ስላቅ አይደለም
ወንድሜ! ይህ ንግግር ለፕሮቴስታንቱ ዓለም አርጩሜ ነው::,ስላቅ
ፔንጤዎች ውለታ ዋሉልን ይሄን ሰውዬ በዛው አስርችሁ አስቀሩልን,ስላቅ
611 ሌላው እንግዳ ደግሞ ከሱዳን የመጣ ሲሆን ስመለከተው አንድ አቋም የሌለው እና እስከ ጥግ ድረስ ስሜታዊ ሰው ነበር ! በውይይቱ መጀመሪያ ላይ ረመዳን የመልካም እና የ,ስላቅ አይደለም
በትግራይ በምግብ እጥረት 13 ህጻናት ሞተዋል- አይደር ሆስፒታል,ስላቅ አይደለም
ህንፃ ማስርያ ሱቁ ነዉ እንዴ ሆዱ 🥰😁😁😁😁,ስላቅ
በህክምና የማይድን ፀበል ዉሰዱት እዛውይድናል,ስላቅ
በጣም ያምራል,ስላቅ አይደለም
እንባ ጠባቂ,ስላቅ አይደለም
ቢቀርባችሁ ይሻላል ብሔራዊ ቡድን ተብለህ ከጅቡቲ እኩል?? ገንዘብ እንጂ ሀገር የማያውቅ ብሔራዊ ቡድን,ስላቅ
